| table_name                       | column_name               | data_type                | is_nullable | column_default                                                                             | character_maximum_length |
| saas_clients                     | updated_at                | timestamp with time zone | YES         | now()                                                                                      | null                     |
| saas_clients                     | whatsapp_id               | text                     | YES         | null                                                                                       | null                     |
| saas_clients                     | name                      | text                     | NO          | null                                                                                       | null                     |
| saas_clients                     | email                     | text                     | YES         | null                                                                                       | null                     |
| saas_clients                     | status                    | text                     | YES         | 'active'::text                                                                             | null                     |
| saas_clients                     | plan                      | text                     | YES         | 'free'::text                                                                               | null                     |
| saas_clients                     | trial_ends_at             | timestamp with time zone | YES         | null                                                                                       | null                     |
| saas_clients                     | bot_name                  | text                     | YES         | 'Sara'::text                                                                               | null                     |
| saas_clients                     | bot_personality           | text                     | YES         | 'formal'::text                                                                             | null                     |
| saas_clients                     | custom_instructions       | text                     | YES         | null                                                                                       | null                     |
| saas_clients                     | timezone                  | text                     | YES         | 'America/Sao_Paulo'::text                                                                  | null                     |
| saas_clients                     | response_mode             | text                     | YES         | 'text'::text                                                                               | null                     |
| saas_clients                     | max_reminders             | integer                  | YES         | 50                                                                                         | null                     |
| saas_clients                     | max_lists                 | integer                  | YES         | 10                                                                                         | null                     |
| saas_clients                     | max_list_items            | integer                  | YES         | 100                                                                                        | null                     |
| saas_clients                     | max_transactions_month    | integer                  | YES         | 200                                                                                        | null                     |
| saas_clients                     | reminders_count           | integer                  | YES         | 0                                                                                          | null                     |
| saas_clients                     | lists_count               | integer                  | YES         | 0                                                                                          | null                     |
| saas_clients                     | transactions_month        | integer                  | YES         | 0                                                                                          | null                     |
| saas_clients                     | transactions_month_reset  | date                     | YES         | CURRENT_DATE                                                                               | null                     |
| saas_clients                     | onboarding_completed      | boolean                  | YES         | false                                                                                      | null                     |
| saas_clients                     | first_interaction_at      | timestamp with time zone | YES         | null                                                                                       | null                     |
| saas_clients                     | apelido                   | text                     | YES         | null                                                                                       | null                     |
| saas_clients                     | lgpd_accepted_at          | timestamp with time zone | YES         | null                                                                                       | null                     |
| saas_clients                     | onboarding_step           | text                     | YES         | 'lgpd'::text                                                                               | null                     |
| saas_clients                     | cidade                    | text                     | YES         | null                                                                                       | null                     |
| saas_clients                     | uf                        | text                     | YES         | 'SP'::text                                                                                 | null                     |
